Date,Open,High,Low,Close,Volume,Ticker,EMA12,EMA26,MACD,Signal,Hist,MACD_Buy,MACD_Sell,RSI,RSI_Buy,RSI_Sell,Low_Min,High_Max,RSV,K,D,J,OSC,OSC_Buy,OSC_Sell,BOLL_Mid,BOLL_STD,BOLL_Upper,BOLL_Lower,BOLL_Buy,BOLL_Sell,BIAS,BIAS_Buy,BIAS_Sell,%K,%D,STOCHS_Buy,STOCHS_Sell,+DI,-DI,ADX,ADX_Buy,ADX_Sell,Aroon_Up,Aroon_Down,Aroon_Buy,Aroon_Sell
2024-12-22,97218.3203125,97360.265625,94202.1875,95104.9375,43147981314,BTC-USD,95104.9375,95104.9375,0.0,0.0,0.0,False,False,,False,False,,,,,,,,False,False,,,,,False,False,,False,False,,,False,False,,,,False,False,,,False,False
2024-12-22,3336.998779296875,3398.657470703125,3219.294921875,3277.53515625,24780768375,ETH-USD,80977.64483173077,88302.90769675926,-7325.26286502849,-1465.052573005698,-5860.210292022792,False,True,,False,False,,,,,,,,False,False,,,,,False,False,,False,False,,,False,False,,,,False,False,,,False,False
2024-12-22,181.2868194580078,187.5334625244141,177.13406372070312,180.16891479492188,4001292417,SOL-USD,68547.26392143294,81775.29741661374,-13228.033495180804,-3817.6487574407192,-9410.384737740085,False,True,,False,False,,,,,,,,False,False,,,,,False,False,,False,False,,,False,False,,,,False,False,,,False,False
2024-12-22,2.2377939224243164,2.2909209728240967,2.167088031768799,2.1993319988250732,11275662705,XRP-USD,58001.869369212305,75718.03089182745,-17716.161522615148,-6597.351310475605,-11118.810212139542,False,True,,False,False,,,,,,,,False,False,,,,,False,False,,False,False,,,False,False,,,,False,False,,,False,False
2024-12-23,95099.390625,96416.2109375,92403.1328125,94686.2421875,65239002919,BTC-USD,63645.61903356426,77123.08358039579,-13477.464546831528,-7973.37395774679,-5504.090589084738,False,True,,False,False,,,,,,,,False,False,,,,,False,False,,False,False,,,False,False,,,,False,False,,,False,False
2024-12-23,3277.51416015625,3461.52783203125,3217.36865234375,3415.785400390625,34496081389,ETH-USD,54379.49078230678,71663.28371521021,-17283.792932903438,-9835.45775277812,-7448.3351801253175,False,True,,False,False,,,,,,,,False,False,,,,,False,False,-89.57897048974039,True,False,,,False,False,,,,False,False,,,False,False
2024-12-23,180.17428588867188,193.0481414794922,176.71888732910156,189.75369262695312,4922594345,SOL-USD,46042.608153125264,66368.94815798182,-20326.34000485656,-11933.63420319381,-8392.70580166275,False,True,,False,False,,,,,,,,False,False,,,,,False,False,-98.88107783246791,True,False,,,False,False,,,,False,False,,,False,False
2024-12-23,2.19943904876709,2.2684519290924072,2.1352620124816895,2.2572619915008545,10144129668,XRP-USD,38959.47724679699,61452.89698050106,-22493.419733704068,-14045.591309295862,-8447.828424408206,False,True,,False,False,,,,,,,,False,False,,,,,False,False,-99.98624688654817,True,False,,,False,False,,,,False,False,,,False,False
2024-12-24,2.257282972335815,2.346191883087158,2.2144899368286133,2.3246240615844727,5976090472,XRP-USD,32966.06915099154,56901.00273187591,-23934.933580884368,-16023.459763613564,-7911.473817270804,False,True,,False,False,2.1352620124816895,97360.265625,0.00019450049872236726,0.00019450049872236726,0.00019450049872236726,0.0001945004987223673,,False,False,,,,,False,False,-99.98581083587086,True,False,0.00019450049872236726,,False,False,,,,False,False,,,False,False
2024-12-24,189.75369262695312,198.69613647460935,186.11529541015625,196.9890289306641,3412375255,SOL-USD,27924.67220913602,52700.705420546634,-24776.033211410613,-17773.974453172974,-7002.058758237639,False,True,,False,False,2.1352620124816895,96416.2109375,0.2021009541947228,0.12133837271632261,0.07288082382928252,0.21825347049040278,-96.1360550930278,False,True,,,,,False,False,-98.79998583941185,True,False,0.2021009541947228,,False,False,,,,False,False,,,False,False
2024-12-24,94684.34375,99404.0625,93448.015625,98676.09375,47114953674,BTC-USD,38809.50629234586,56106.28974124688,-17296.78344890102,-17678.536252318583,381.752803417563,True,False,,False,False,2.1352620124816895,99404.0625,99.26765127173329,47.08538132488224,22.341960008538575,96.57222395756958,-1.243343828519361,False,True,,,,,False,False,477.71082556908783,False,True,99.26765127173329,33.15664890880891,False,False,,,,False,False,,,False,False
2024-12-24,3415.738037109375,3535.857666015625,3355.609130859375,3492.0498046875,23083678195,ETH-USD,33376.05144809073,52208.938634835074,-18832.887186744345,-17909.406439203736,-923.4807475406087,False,True,,False,False,2.1352620124816895,99404.0625,3.510912353157384,28.985217290473457,25.10146687949614,36.75271811242809,1.9395986836911534,True,False,,,,,False,False,-79.57058553095418,True,False,3.510912353157384,34.32688819302846,False,False,,,,False,False,,,False,False
2024-12-25,98675.9140625,99478.75,97593.46875,99299.1953125,33700394629,BTC-USD,43518.07358107677,55697.10579614359,-12179.032215066814,-16763.331594376352,4584.2993793095375,True,False,,False,False,2.1352620124816895,99478.75,99.81950060526997,56.17752510326263,37.03113851989939,94.4702982699891,34.46106767062361,True,False,,,,,False,False,195.43233635692118,False,True,99.81950060526997,67.5326880767202,False,False,,,,False,False,,,False,False
