Datetime,Open,High,Low,Close,Volume,Ticker
2024-12-31 09:00:00,424.87,424.87,424.87,424.87,164.0,MSFT
2024-12-31 09:15:00,426.98,427.5,426.93,427.11,7659.0,MSFT
2024-12-31 09:30:00,427.21,427.25,426.98,427.03,2245.0,MSFT
2024-12-31 09:45:00,427.2,427.48,426.82,426.82,785.0,MSFT
2024-12-31 10:00:00,426.7,426.7,426.7,426.7,100.0,MSFT
2024-12-31 10:45:00,427.38,427.5,427.38,427.5,630.0,MSFT
2024-12-31 11:15:00,427.4,427.4,427.0,427.0,962.0,MSFT
2024-12-31 11:30:00,427.42,427.42,427.42,427.42,316.0,MSFT
2024-12-31 12:00:00,427.34,427.49,427.24,427.49,3068.0,MSFT
2024-12-31 12:15:00,427.3,427.3,426.95,426.95,2678.0,MSFT
2024-12-31 12:30:00,427.01,427.01,426.88,426.97,1884.0,MSFT
2024-12-31 12:45:00,427.0,427.0,426.01,426.24,4981.0,MSFT
2024-12-31 13:00:00,427.48,427.48,424.1,425.55,22448.0,MSFT
2024-12-31 13:15:00,426.0236,426.16,426.0236,426.16,2764.0,MSFT
2024-12-31 13:30:00,426.4797,426.4797,426.0,426.35,2046.0,MSFT
2024-12-31 13:45:00,426.2499,426.26,426.0,426.0,3180.0,MSFT
2024-12-31 14:00:00,426.0,426.5,425.21,426.33,4583.0,MSFT
2024-12-31 14:15:00,426.25,426.75,425.29,425.54,9571.0,MSFT
2024-12-31 14:30:00,426.1,426.73,424.205,424.61,686320.0,MSFT
2024-12-31 14:45:00,424.61,425.94,424.41,425.62,337388.0,MSFT
2024-12-31 15:00:00,425.66,426.37,424.5775,425.385,326525.0,MSFT
2024-12-31 15:15:00,425.385,425.9,424.62,425.2,273205.0,MSFT
2024-12-31 15:30:00,425.12,425.605,424.26,424.34,229232.0,MSFT
2024-12-31 15:45:00,424.335,425.2,424.0001,424.76,207737.0,MSFT
2024-12-31 16:00:00,424.825,424.8688,423.31,423.8386,200026.0,MSFT
2024-12-31 16:15:00,423.78,423.86,422.85,423.4813,215273.0,MSFT
2024-12-31 16:30:00,423.32,423.58,422.78,423.3799,188338.0,MSFT
2024-12-31 16:45:00,423.295,423.95,423.0,423.19,218018.0,MSFT
2024-12-31 17:00:00,423.19,423.44,422.78,423.18,181875.0,MSFT
2024-12-31 17:15:00,423.19,423.23,422.26,422.33,201417.0,MSFT
2024-12-31 17:30:00,422.315,422.48,421.864,422.075,301652.0,MSFT
2024-12-31 17:45:00,422.0725,423.6834,421.94,423.6834,264821.0,MSFT
2024-12-31 18:00:00,423.55,423.86,422.56,422.63,212731.0,MSFT
2024-12-31 18:15:00,422.625,422.84,421.71,421.93,250810.0,MSFT
2024-12-31 18:30:00,421.905,422.478,421.8122,422.165,185253.0,MSFT
2024-12-31 18:45:00,422.1618,422.92,421.89,421.99,197229.0,MSFT
2024-12-31 19:00:00,421.93,422.96,421.55,422.83,198092.0,MSFT
2024-12-31 19:15:00,422.78,422.84,421.73,421.94,156951.0,MSFT
2024-12-31 19:30:00,421.99,422.76,421.89,422.45,181464.0,MSFT
2024-12-31 19:45:00,422.4,423.0012,422.24,422.81,330221.0,MSFT
2024-12-31 20:00:00,422.74,422.86,421.6,421.73,210403.0,MSFT
2024-12-31 20:15:00,421.71,423.2,421.62,423.2,294680.0,MSFT
2024-12-31 20:30:00,423.17,423.4,422.2101,422.555,380610.0,MSFT
2024-12-31 20:45:00,422.55,423.19,420.66,421.291,2280334.0,MSFT
2024-12-31 21:00:00,421.5,421.95,421.15,421.83,141464.0,MSFT
2024-12-31 21:15:00,421.9,421.9,421.6,421.79,7906.0,MSFT
2024-12-31 21:30:00,421.79,421.8496,421.5,421.7686,7808.0,MSFT
2024-12-31 21:45:00,421.61,421.61,421.5004,421.51,3841.0,MSFT
2024-12-31 22:00:00,421.5999,421.61,421.5018,421.61,1749.0,MSFT
2024-12-31 22:15:00,421.55,421.6,421.4,421.4,2698.0,MSFT
2024-12-31 22:30:00,421.61,421.61,421.61,421.61,110.0,MSFT
2024-12-31 23:00:00,421.65,421.75,421.5,421.5,1339.0,MSFT
2024-12-31 23:15:00,421.4,421.45,421.4,421.45,807.0,MSFT
2024-12-31 23:30:00,421.43,421.43,421.31,421.31,1057.0,MSFT
2024-12-31 23:45:00,421.25,421.4,421.2,421.2,1298.0,MSFT
2025-01-01 00:00:00,421.3,421.76,421.3,421.76,2174.0,MSFT
2025-01-01 00:45:00,421.5997,421.75,421.5997,421.6,2206.0,MSFT
2025-01-02 09:00:00,424.5,424.74,423.91,424.63,8431.0,MSFT
2025-01-02 09:15:00,424.62,424.9,424.62,424.71,2881.0,MSFT
2025-01-02 09:30:00,424.67,424.67,424.25,424.25,1338.0,MSFT
2025-01-02 09:45:00,424.65,425.47,424.65,425.21,3870.0,MSFT
2025-01-02 10:00:00,425.0,425.02,424.87,424.87,3340.0,MSFT
2025-01-02 10:15:00,425.2,425.24,425.2,425.24,650.0,MSFT
2025-01-02 10:30:00,425.23,425.3,425.18,425.3,1243.0,MSFT
2025-01-02 10:45:00,425.41,425.5,425.27,425.5,1407.0,MSFT
2025-01-02 11:00:00,425.32,425.37,425.26,425.37,550.0,MSFT
2025-01-02 11:15:00,425.88,426.56,425.88,425.94,3833.0,MSFT
2025-01-02 11:30:00,425.72,426.98,425.7,426.93,4426.0,MSFT
2025-01-02 11:45:00,427.21,428.3,426.7,428.13,14265.0,MSFT
2025-01-02 12:00:00,427.83,428.0,427.25,427.7,14691.0,MSFT
2025-01-02 12:15:00,427.43,427.75,427.43,427.72,10403.0,MSFT
2025-01-02 12:30:00,427.72,427.72,427.0,427.0,7996.0,MSFT
2025-01-02 12:45:00,426.76,427.33,426.66,427.3,4871.0,MSFT
2025-01-02 13:00:00,427.24,428.0,423.76,426.43,37989.0,MSFT
2025-01-02 13:15:00,426.5,426.6979,425.5,425.67,13032.0,MSFT
2025-01-02 13:30:00,425.86,426.7,425.81,426.6816,24719.0,MSFT
2025-01-02 13:45:00,426.51,426.51,425.8,425.8,3527.0,MSFT
2025-01-02 14:00:00,425.7,426.341,425.22,426.0,15591.0,MSFT
2025-01-02 14:15:00,426.2976,427.28,425.1,425.71,24416.0,MSFT
2025-01-02 14:30:00,425.53,426.07,422.7,423.12,1196132.0,MSFT
2025-01-02 14:45:00,423.19,425.5,422.95,425.4,615033.0,MSFT
2025-01-02 15:00:00,425.5,425.93,424.74,425.52,570193.0,MSFT
2025-01-02 15:15:00,425.52,425.64,422.25,423.19,602221.0,MSFT
2025-01-02 15:30:00,423.12,423.365,420.5,421.26,540624.0,MSFT
2025-01-02 15:45:00,421.175,423.11,421.03,421.73,378478.0,MSFT
2025-01-02 16:00:00,421.9,421.96,420.3,421.304,367855.0,MSFT
2025-01-02 16:15:00,421.355,421.93,420.76,421.48,252196.0,MSFT
2025-01-02 16:30:00,421.49,422.08,421.095,421.31,297700.0,MSFT
2025-01-02 16:45:00,421.39,422.36,421.33,421.61,342924.0,MSFT
2025-01-02 17:00:00,421.6203,421.96,420.73,421.43,272134.0,MSFT
2025-01-02 17:15:00,421.36,421.36,418.06,418.34,700352.0,MSFT
2025-01-02 17:30:00,418.25,418.318843,415.46,415.9499,618657.0,MSFT
2025-01-02 17:45:00,415.94,416.45,414.85,416.12,471375.0,MSFT
2025-01-02 18:00:00,416.0,416.59,414.9,415.43,447219.0,MSFT
2025-01-02 18:15:00,415.54,416.26,414.915,416.23,322468.0,MSFT
2025-01-02 18:30:00,416.2,416.82,415.23,416.71,386934.0,MSFT
