Date,Open,High,Low,Close,Volume,Number of Trades,Coin
2024-12-31 16:00:00,95412.00000000,95590.52000000,94930.47000000,94957.28000000,449.49554000,99084,BTC
2024-12-31 16:30:00,94957.28000000,94990.56000000,94606.40000000,94868.42000000,592.98943000,88717,BTC
2024-12-31 17:00:00,94868.41000000,95047.71000000,94500.00000000,94538.08000000,291.55651000,76956,BTC
2024-12-31 17:30:00,94538.08000000,94563.20000000,93189.59000000,94120.94000000,1040.84722000,195779,BTC
2024-12-31 18:00:00,94120.92000000,94416.72000000,93779.80000000,93979.48000000,575.08934000,117333,BTC
2024-12-31 18:30:00,93979.49000000,94200.00000000,93818.18000000,93875.68000000,241.72083000,73240,BTC
2024-12-31 19:00:00,93875.69000000,94290.91000000,93857.29000000,93930.14000000,294.26290000,58854,BTC
2024-12-31 19:30:00,93930.14000000,94166.89000000,93712.45000000,94166.88000000,168.53052000,45419,BTC
2024-12-31 20:00:00,94166.88000000,94222.50000000,93876.74000000,94091.40000000,201.03936000,41289,BTC
2024-12-31 20:30:00,94091.39000000,94102.63000000,93450.17000000,93564.04000000,532.00211000,76667,BTC
2024-12-31 21:00:00,93564.01000000,93773.77000000,93504.67000000,93609.85000000,215.33654000,42258,BTC
2024-12-31 21:30:00,93609.84000000,93964.15000000,93599.98000000,93899.68000000,122.19061000,25934,BTC
2024-12-31 22:00:00,93899.67000000,93899.67000000,93569.70000000,93722.23000000,144.54837000,28305,BTC
2024-12-31 22:30:00,93722.23000000,93833.46000000,93375.58000000,93488.84000000,170.98435000,24812,BTC
2024-12-31 23:00:00,93488.83000000,93756.00000000,93375.38000000,93731.05000000,175.87593000,36286,BTC
2024-12-31 23:30:00,93731.06000000,93734.91000000,93456.00000000,93576.00000000,160.70402000,31849,BTC
2025-01-01 00:00:00,93576.00000000,93898.05000000,93489.03000000,93761.90000000,271.27422000,40266,BTC
2025-01-01 00:30:00,93761.90000000,94509.42000000,93761.89000000,94401.14000000,484.71588000,53259,BTC
2025-01-01 01:00:00,94401.13000000,94408.72000000,93819.60000000,93825.86000000,387.23250000,46486,BTC
2025-01-01 01:30:00,93825.86000000,93989.37000000,93578.77000000,93607.74000000,199.30206000,33457,BTC
2025-01-01 02:00:00,93607.74000000,93805.16000000,93594.56000000,93742.52000000,152.93592000,31070,BTC
2025-01-01 02:30:00,93742.51000000,94105.12000000,93742.51000000,94098.91000000,123.84453000,24008,BTC
2025-01-01 03:00:00,94098.90000000,94098.91000000,93766.23000000,93830.89000000,112.48847000,21449,BTC
2025-01-01 03:30:00,93830.90000000,93891.15000000,93728.22000000,93838.04000000,108.50455000,13552,BTC
2025-01-01 04:00:00,93838.04000000,93838.04000000,93679.07000000,93738.09000000,141.00467000,18691,BTC
2025-01-01 04:30:00,93738.09000000,93738.10000000,93500.00000000,93553.91000000,138.46442000,19906,BTC
