Date,Close_Price,Actual_Return,Predicted_Return,Position,Cumulative_Return,Ticker,Rolling_Risk,Rolling_Average
2025-03-07 14:38:00,237.3099975585937,0.0009011210428526706,-0.00012168045,SHORT,0.9990988789571473,AAPL,,
2025-03-07 14:40:00,238.07000732421875,0.0013753820802566707,-0.0001071889,SHORT,0.9977247362626251,AAPL,,
2025-03-07 14:42:00,238.22000122070312,0.001972900530359478,-7.950487e-05,SHORT,0.9957563246012998,AAPL,,
2025-03-07 14:44:00,238.30499267578125,-0.0011464818645099406,-9.486924e-05,SHORT,0.9968979411689263,AAPL,,
2025-03-07 14:46:00,238.3000030517578,-9.983167967586581e-05,-0.00010748281,SHORT,0.9969974631648586,AAPL,,
2025-03-07 14:48:00,238.92999267578125,0.0021461003916518617,-0.00014253496,SHORT,0.9948578065186846,AAPL,,
2025-03-07 14:50:00,238.8500061035156,0.0016435173170428197,-0.00010221237,SHORT,0.9932227404856759,AAPL,,
2025-03-07 14:52:00,239.1300048828125,0.0025855423880551953,-0.00015414508,SHORT,0.9906547209893699,AAPL,,
2025-03-07 14:54:00,239.3600006103516,0.003050017332997701,-0.00016980022,SHORT,0.9876332069193363,AAPL,,
2025-03-07 14:56:00,238.8600006103516,-0.005067905023499186,-0.00016349203,SHORT,0.9926384382100575,AAPL,0.0023916781058695457,0.0007360362515531404
2025-03-07 14:58:00,238.3350067138672,-0.003006488795826323,-0.00015038814,SHORT,0.9956227945528425,AAPL,0.0026652791543532923,0.0003452752676852411
2025-03-07 15:00:00,238.205307006836,-0.00047352633372277353,-0.00014662585,SHORT,0.996094248164518,AAPL,0.002649966174218197,0.00016038442628729666
2025-03-07 15:02:00,238.3699951171875,0.00246843425024057,-0.00015081206,SHORT,0.993635455005881,AAPL,0.0026919264171073034,0.0002099377982754058
2025-03-07 15:04:00,238.34039306640625,0.0007213245957642389,-0.00013781822,SHORT,0.9929187213129619,AAPL,0.002651854331801144,0.00039671844430282376
2025-03-07 15:06:00,238.5301055908203,0.0019884135751568888,-8.599236e-05,SHORT,0.9909443882484757,AAPL,0.0026903497730749637,0.0006055429697860992
2025-03-07 15:08:00,238.8249969482422,-0.0002977269196910992,-0.00012174068,SHORT,0.9912394190687741,AAPL,0.002645482254791794,0.00036116023865180314
2025-03-07 15:10:00,238.509994506836,0.0011414371127893563,-0.00012909433,SHORT,0.9901079816081892,AAPL,0.0026231103487278544,0.0003109522182264568
2025-03-07 15:12:00,238.22000122070312,-0.0026271377261108952,-0.00013516111,SHORT,0.9927091316395956,AAPL,0.002638766121536119,-0.00021031579319015227
2025-03-07 15:14:00,238.0200042724609,-0.0013911198112553924,-0.00014272056,SHORT,0.9940901089794337,AAPL,0.002391186035781678,-0.0006544295076154616
2025-03-07 15:16:00,238.1199951171875,-0.0012447453724534485,-9.851089e-05,SHORT,0.9953274980423875,AAPL,0.0018519655515962122,-0.0002721135425108878
2025-03-07 15:18:00,237.8800048828125,-0.0005480633624508346,-6.172522e-05,SHORT,0.9958730005777044,AAPL,0.0015938403082815017,-2.627099917333897e-05
