Datetime,Open,High,Low,Close,Volume,Ticker,EMA12,EMA26,MACD,Signal,Hist,RSI,Low_Min,High_Max,RSV,K,D,J,OSC,BOLL_Mid,BOLL_STD,BOLL_Upper,BOLL_Lower,BIAS
2025-01-17 14:30:00+00:00,231.30999755859372,232.2899932861328,229.72000122070312,229.88900756835935,17873507,AAPL,229.88900756835935,229.88900756835935,0.0,0.0,0.0,,,,,,,,,,,,,
2025-01-17 14:30:00+00:00,225.83999633789065,226.25999450683597,223.75999450683597,224.1999969482422,10500402,AMZN,229.0137751652644,229.4675993742766,-0.4538242090121969,-0.09076484180243938,-0.3630593672097575,,,,,,,,,,,,,
2025-01-17 14:30:00+00:00,196.2700042724609,196.8300018310547,194.17599487304688,194.44500732421875,6057496,GOOGL,223.69550318971892,226.87333329649454,-3.177830106775616,-0.7081778947970748,-2.4696522119785413,,,,,,,,,,,,,
2025-01-17 14:30:00+00:00,624.9000244140625,624.969970703125,614.1799926757812,614.730712890625,2724351,META,283.85476622062754,255.6035095627264,28.251256657901138,5.083709015742568,23.16754764215857,,,,,,,,,,,,,
2025-01-17 14:30:00+00:00,434.0899963378906,434.3900146484375,428.44049072265625,428.875,6783036,MSFT,306.1655714174541,268.4384347803022,37.72713663715189,11.612394540024432,26.114742097127454,,,,,,,,,,,,,
2025-01-17 14:30:00+00:00,135.94149780273438,136.8300018310547,135.47000122070312,136.26260375976562,35256840,NVDA,280.0266533162712,258.64763248248465,21.37902083378657,13.565719798776861,7.813301035009708,,,,,,,,,,,,,-55.28469802194721
2025-01-17 14:30:00+00:00,421.7200012207031,427.1700134277344,419.7701110839844,423.3599853515625,11937032,TSLA,302.0779351678545,270.84854750982373,31.22938765803076,17.09845337062764,14.130934287403118,,,,,,,,,,,,,25.633980340240843
2025-01-17 14:45:00+00:00,229.8701019287109,231.0800018310547,229.8699951171875,230.7899932861328,3560262,AAPL,291.11055949374344,267.8812471969577,23.229312296785736,18.32462515585926,4.904687140926477,,,,,,,,,,,,,-31.734532346062416
2025-01-17 14:45:00+00:00,224.197998046875,224.9199981689453,223.7100067138672,223.8300018310547,1363648,AMZN,280.7597044687144,264.6181919846686,16.14151248404579,17.888002621496568,-1.7464901374507775,,135.47000122070312,624.969970703125,18.051073773054565,50.0,50.0,50.0,,,,,,-34.738629039545025
2025-01-17 14:45:00+00:00,194.42999267578125,194.8000030517578,193.82009887695312,194.0,1087445,GOOGL,267.4120576273737,259.38721480061906,8.02484282675465,15.915370662548185,-7.8905278357935345,,135.47000122070312,624.969970703125,11.957099576775093,37.31903319225836,45.77301106408611,20.411077448602853,-16.683908842226007,,,,,-28.899425965879555
2025-01-17 14:45:00+00:00,614.719970703125,617.6749877929688,613.0,614.5,600995,META,320.8102026077778,285.6918655561288,35.11833705164901,19.75596394036835,15.362373111280657,,135.47000122070312,624.969970703125,97.8610885891994,57.49971832457203,49.681913484248085,73.13532800521992,2.677833757184016,,,,,102.27760254806029
2025-01-17 14:45:00+00:00,428.9049987792969,429.9400024414063,428.1700134277344,428.875,771994,MSFT,337.435556052735,296.29802366308223,41.13753238965279,24.032277630225238,17.105254759427552,,135.47000122070312,624.969970703125,59.93973791040924,58.313058186517765,52.558961718337976,69.82125112287734,-3.028319742435836,,,,,21.646249625194507
2025-01-17 14:45:00+00:00,136.25999450683594,137.19659423828125,136.25,136.6699981689453,10970655,NVDA,306.5485471475366,284.47372547833135,22.074821669205278,23.640786438021248,-1.5659647688159701,,135.47000122070312,617.6749877929688,0.2488561880648138,38.95832418703345,48.0254158745698,20.824140811960746,-6.8808460802760205,,,,,-55.157451363462364
2025-01-17 14:45:00+00:00,423.3200073242188,425.8699951171875,422.2200012207031,424.98089599609375,4591346,TSLA,324.76890850885314,294.8816640352027,29.88724447365047,24.890078045147096,4.997166428503373,,135.47000122070312,617.6749877929688,60.038967417854174,45.98520526397368,47.34534567103776,43.26492444984552,10.977561983557614,,,,,26.05373328983224
2025-01-17 15:00:00+00:00,230.7700042724609,231.2700042724609,230.5399932861328,230.625,2313976,AAPL,310.2852302767219,290.12191114370614,20.16331913301576,23.94472626272083,-3.7814071297050695,50.0129958137066,136.25,617.6749877929688,19.603261648850033,37.19122405893246,43.96063846700266,23.652395242792068,20.612032398309946,,,,,-31.82325078770509
2025-01-17 15:00:00+00:00,223.8350067138672,224.6000061035156,223.72000122070312,223.9550018310547,1004664,AMZN,297.00365666969617,285.22065860202827,11.782998067667904,21.512380623710246,-9.729382556042342,49.99567548778456,136.25,617.6749877929688,18.217791775438798,30.866746631101236,39.596007855035516,13.408224183232676,-7.7077268193946615,,,,,-34.7579061800823
2025-01-17 15:00:00+00:00,194.0050048828125,194.8999938964844,193.8800048828125,194.83999633789065,915395,GOOGL,281.286170464803,278.52579473061064,2.760375734192337,17.761979645806665,-15.001603911614328,50.00697369337297,136.25,617.6749877929688,12.170119504284353,24.63453758882894,34.60885109963333,4.685910567220162,-16.566076052977362,,,,,-28.714722632491448
2025-01-17 15:00:00+00:00,614.530029296875,621.169921875,613.3499755859375,613.790771484375,1224864,META,332.44072446781405,303.3602374531117,29.080487014702328,20.025681119585798,9.05480589511653,49.983397121985966,136.25,621.169921875,98.47827444125359,49.24911653963715,39.4889395796346,68.76947045964225,2.7484733220275435,,,,,101.80952353398871
2025-01-17 15:00:00+00:00,428.875,430.3626098632813,428.3299865722656,429.1099853515625,552496,MSFT,347.3129184499292,312.6750335937377,34.63788485619153,22.948121866906945,11.689762989284588,50.004152443066154,136.25,621.169921875,60.3934736727633,52.9639022506792,43.980593803316125,70.93051914540533,-3.056274551984841,,,,,21.600996763601323
2025-01-17 15:00:00+00:00,136.67999267578125,137.6291046142578,136.61000061035156,137.4600067138672,10710917,NVDA,315.0278551059197,299.6961427137473,15.331712392172392,21.424839971960036,-6.0931275797876445,50.02116659339787,136.25,621.169921875,0.24952711969195945,35.39244387368345,41.11787716010523,23.94157730083988,-6.885253120177095,316.7594482421875,164.91285452300247,646.5851572881925,-13.066260803817443,-54.92574533855687
